,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
4279,8815-lmflx,male,no,yes,yes,25,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,bank_transfer_(automatic),25.4,546.85,0
2891,0495-rvcbf,female,no,no,no,1,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,79.7,79.7,1
3930,8849-priqj,female,no,yes,yes,67,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,one_year,yes,electronic_check,109.4,7281.6,0
5302,9700-ispup,female,no,yes,yes,10,yes,no,dsl,no,yes,no,yes,no,yes,month-to-month,yes,electronic_check,65.5,616.9,0
908,4694-phwfw,female,no,no,yes,8,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.95,170.9,0
193,9680-niauv,female,no,yes,yes,72,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,two_year,no,credit_card_(automatic),109.7,8129.3,0
5360,4919-ikaty,male,no,yes,yes,5,yes,yes,fiber_optic,yes,no,yes,no,no,no,month-to-month,yes,electronic_check,84.5,453.75,1
742,5138-wvkyj,male,no,no,no,10,yes,yes,fiber_optic,yes,no,no,no,yes,yes,month-to-month,no,electronic_check,98.55,1008.55,1
612,2804-etqdk,male,no,no,yes,66,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.55,1357.1,0
5170,7721-dvekz,female,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.65,19.65,0
1870,3566-hjgpk,male,no,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed_check,45.55,45.55,0
5473,1208-nbvfh,male,no,yes,yes,20,yes,no,dsl,no,no,yes,no,no,no,month-to-month,yes,electronic_check,49.6,939.8,0
3638,7579-oopec,female,yes,yes,no,2,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,credit_card_(automatic),50.15,115.1,1
401,9442-jtwdl,female,no,no,no,11,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,credit_card_(automatic),20.05,237.7,0
3540,1053-mxttk,female,no,yes,yes,72,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),108.65,7726.35,0
849,7408-ofwxj,female,no,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),89.8,6510.45,0
5090,6502-hcjti,male,yes,yes,no,7,yes,yes,fiber_optic,yes,yes,no,no,no,yes,month-to-month,yes,credit_card_(automatic),94.7,673.1,1
1728,8345-mvdyc,female,no,no,no,45,yes,no,dsl,yes,no,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),81.65,3618.7,0
374,6862-cqumb,male,no,no,no,37,yes,no,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),96.1,3646.8,0
5523,5044-lrqaq,female,no,yes,no,7,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),69.2,477.55,0
2935,9435-jmlsx,male,no,yes,no,71,yes,no,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),86.1,6045.9,0
4633,1820-djfph,female,no,yes,yes,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),24.05,1709.15,0
6898,1956-yifge,male,no,yes,yes,22,yes,no,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,mailed_check,100.05,2090.25,0
1007,6993-ohlxr,female,no,no,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,68.95,119.75,1
6744,6500-jvegc,male,no,no,no,68,yes,yes,fiber_optic,yes,yes,yes,no,yes,no,one_year,no,bank_transfer_(automatic),101.35,7110.75,0
5600,3799-isuzq,male,no,yes,yes,7,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),69.95,529.5,1
409,7989-chgtl,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,19.6,19.6,1
578,6522-yrbxd,male,yes,yes,no,35,yes,yes,fiber_optic,yes,yes,no,no,no,yes,month-to-month,yes,electronic_check,94.55,3365.4,0
692,9620-qjrev,male,no,no,yes,47,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,credit_card_(automatic),20.55,1013.05,0
1611,1971-dtczb,female,no,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),90.95,6468.6,0
2734,2371-jungc,male,no,no,no,11,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.25,208.0,0
655,5183-snmjq,male,no,no,no,10,yes,no,fiber_optic,no,no,no,yes,yes,yes,month-to-month,yes,credit_card_(automatic),95.1,865.1,0
4540,6728-wyqbc,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,bank_transfer_(automatic),20.95,20.95,0
5015,0708-sjdis,female,no,no,no,34,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,no,mailed_check,65.0,2157.5,0
3839,8387-ugusu,female,no,yes,yes,15,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.05,284.3,0
5387,8676-ooqej,male,no,no,no,4,no,no_phone_service,dsl,no,no,no,yes,no,no,month-to-month,no,electronic_check,30.5,118.4,0
5320,5338-yhwyt,male,no,no,yes,37,yes,no,dsl,yes,yes,no,yes,no,no,two_year,no,credit_card_(automatic),61.45,2302.35,0
3133,3181-vthoe,male,no,yes,no,70,no,no_phone_service,dsl,no,yes,yes,yes,no,yes,one_year,yes,bank_transfer_(automatic),51.05,3635.15,0
590,0619-olyur,male,no,yes,no,72,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),111.9,8071.05,0
2906,7742-mypgi,female,no,yes,yes,6,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,mailed_check,48.8,297.35,0
1575,2003-cklor,male,no,no,no,66,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic_check,99.5,6710.5,1
4574,8999-xxgns,female,yes,yes,no,72,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,credit_card_(automatic),105.75,7629.85,0
3129,7080-tnuwp,male,no,yes,no,70,yes,yes,fiber_optic,no,yes,yes,no,yes,no,one_year,yes,bank_transfer_(automatic),95.0,6602.9,0
6102,9795-nrexc,female,no,yes,no,64,yes,yes,dsl,yes,no,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),85.0,5484.4,0
2396,4083-bfnyk,female,yes,yes,no,38,yes,yes,fiber_optic,yes,yes,no,no,no,yes,one_year,no,credit_card_(automatic),95.0,3591.25,0
3124,3889-vwbid,male,no,yes,yes,68,yes,no,dsl,yes,yes,no,yes,yes,yes,two_year,no,bank_transfer_(automatic),82.85,5776.45,0
2660,5639-ntupk,male,no,no,yes,13,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),52.1,670.65,0
1871,3062-icyzq,female,no,yes,yes,51,yes,yes,fiber_optic,yes,yes,no,no,no,yes,month-to-month,yes,electronic_check,93.8,4539.35,0
6754,2775-sefee,male,no,no,yes,0,yes,yes,dsl,yes,yes,no,yes,no,no,two_year,yes,bank_transfer_(automatic),61.9,0.0,0
743,4018-ppndw,female,no,yes,yes,61,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,24.1,1551.6,0
6217,1599-mmyrq,male,no,yes,yes,62,yes,no,fiber_optic,yes,yes,no,no,no,no,one_year,yes,credit_card_(automatic),81.45,4983.05,0
182,9367-wxlch,male,no,no,no,8,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,no,bank_transfer_(automatic),84.5,662.65,1
5273,7673-bqgku,female,no,yes,yes,69,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),20.15,1337.5,0
4338,9708-hpxwz,male,yes,no,no,5,no,no_phone_service,dsl,no,no,yes,yes,yes,no,month-to-month,no,credit_card_(automatic),45.4,214.75,0
2716,7883-rojoc,female,no,yes,no,19,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed_check,44.9,839.65,0
1053,5669-sraip,female,no,no,no,5,no,no_phone_service,dsl,no,no,yes,no,no,yes,month-to-month,no,electronic_check,39.5,210.75,1
6041,3363-ewlgo,female,no,no,no,5,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.95,109.6,0
653,1140-ukvzg,female,no,no,no,17,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,24.8,475.25,0
148,6440-dkqge,male,no,no,yes,30,yes,no,dsl,no,yes,yes,no,yes,no,one_year,no,credit_card_(automatic),64.5,1929.95,0
708,3014-wjksm,male,no,yes,no,29,yes,no,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,credit_card_(automatic),75.3,2263.4,0
369,3520-fjgcv,male,no,yes,yes,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),112.6,8126.65,0
23,3638-weabw,female,no,yes,no,58,yes,yes,dsl,no,yes,no,yes,no,no,two_year,yes,credit_card_(automatic),59.9,3505.1,0
3312,9122-umrob,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.3,20.3,0
1285,9134-ceqmf,male,yes,yes,no,7,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,89.5,676.7,1
1957,5619-ptmik,female,no,yes,no,46,yes,yes,dsl,yes,no,no,no,no,no,month-to-month,no,electronic_check,53.1,2459.8,0
2260,6204-ieuxj,female,no,no,no,3,yes,no,fiber_optic,no,no,yes,yes,no,no,month-to-month,no,credit_card_(automatic),80.1,217.55,1
1199,7126-rbhsd,female,no,yes,no,17,yes,yes,fiber_optic,yes,no,no,no,no,no,month-to-month,no,electronic_check,78.9,1348.95,0
4508,3530-vwvgu,female,no,yes,yes,22,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.9,400.3,0
469,4640-uhdos,female,no,yes,yes,13,yes,no,dsl,no,no,no,no,no,yes,month-to-month,no,electronic_check,55.95,734.35,1
6788,1760-cazht,male,no,no,yes,25,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.8,460.2,0
1192,1579-klydt,male,no,no,no,7,yes,yes,fiber_optic,no,no,yes,no,yes,no,month-to-month,yes,electronic_check,90.45,593.45,1
106,6728-dkuco,female,no,yes,yes,72,yes,yes,fiber_optic,yes,yes,no,no,yes,yes,one_year,yes,electronic_check,104.15,7303.05,0
1484,2277-bkjkn,female,yes,yes,no,71,yes,no,fiber_optic,no,yes,yes,no,yes,yes,two_year,yes,electronic_check,99.2,7213.75,0
5797,1169-wcvak,male,no,yes,no,19,yes,yes,fiber_optic,yes,yes,no,yes,no,no,month-to-month,yes,credit_card_(automatic),88.8,1672.35,0
350,0513-rbgpe,male,no,yes,yes,37,yes,yes,dsl,yes,no,yes,yes,no,no,two_year,yes,credit_card_(automatic),62.8,2278.75,0
4019,6615-nggzj,male,no,no,no,14,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,100.55,1415.55,1
1260,9992-ujoel,male,no,no,no,2,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed_check,50.3,92.75,0
48,7639-liayi,male,no,no,no,52,yes,yes,dsl,yes,no,no,yes,yes,yes,two_year,yes,credit_card_(automatic),79.75,4217.8,0
6132,3896-rcyye,female,no,no,no,67,no,no_phone_service,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,credit_card_(automatic),53.4,3579.15,0
4808,8144-dghxp,female,no,no,no,54,yes,no,dsl,yes,no,yes,yes,yes,yes,two_year,no,electronic_check,80.6,4299.95,0
1443,7055-hneoj,male,no,yes,no,3,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,yes,mailed_check,55.8,154.55,0
6543,8050-xgrvl,female,no,yes,yes,62,yes,no,dsl,yes,no,yes,no,no,no,one_year,no,credit_card_(automatic),54.75,3425.35,0
4251,6867-acczi,female,no,yes,yes,24,no,no_phone_service,dsl,yes,yes,yes,yes,no,yes,two_year,yes,mailed_check,52.5,1208.15,0
5586,1998-vhjhk,female,no,no,no,27,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.15,501.35,0
5874,2968-ssgaa,female,no,no,no,10,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,100.6,1060.2,1
2511,7016-nvric,male,yes,yes,no,29,yes,no,fiber_optic,yes,no,yes,no,no,yes,one_year,no,bank_transfer_(automatic),90.1,2656.7,0
6522,7233-ioqnp,female,no,yes,no,43,no,no_phone_service,dsl,yes,no,no,yes,no,no,month-to-month,no,bank_transfer_(automatic),34.0,1505.35,0
3608,3208-ypioe,male,no,no,no,39,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,75.25,3017.65,1
6607,7242-qzlxf,male,no,no,yes,1,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,25.3,25.3,1
6031,0282-nvsjs,female,yes,yes,yes,12,no,no_phone_service,dsl,no,no,no,yes,no,no,month-to-month,yes,mailed_check,29.3,355.9,0
6763,7471-mqpos,male,yes,yes,yes,71,yes,yes,dsl,no,yes,yes,yes,no,yes,one_year,yes,bank_transfer_(automatic),72.9,5139.65,0
3033,5795-ktgud,female,no,yes,no,68,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,two_year,yes,bank_transfer_(automatic),110.8,7553.6,0
2771,6366-xivkz,female,no,yes,yes,13,yes,no,dsl,yes,no,yes,no,no,yes,month-to-month,yes,mailed_check,63.15,816.8,0
6766,9845-qomad,male,no,yes,yes,14,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.75,309.35,0
5117,5317-flpjf,female,no,no,no,66,no,no_phone_service,dsl,yes,no,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),61.35,4193.4,0
6585,4955-vcwbi,female,no,yes,yes,43,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.0,817.95,0
2125,8311-ueuab,female,no,yes,yes,67,yes,yes,dsl,yes,no,no,no,yes,yes,two_year,yes,electronic_check,75.5,5229.45,0
30,3841-nfecx,female,yes,yes,no,71,yes,yes,fiber_optic,yes,yes,yes,yes,no,no,two_year,yes,credit_card_(automatic),96.35,6766.95,0
2306,7245-niiwq,female,no,no,no,3,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,69.85,199.85,0
1226,7115-irdhs,female,no,yes,no,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),24.65,1830.05,0
2329,2972-ydyuw,female,no,no,no,57,yes,yes,fiber_optic,no,yes,no,yes,no,yes,one_year,no,electronic_check,94.7,5468.95,0
3413,5294-dmsfh,female,no,yes,yes,29,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),87.8,2621.75,0
5816,0374-ioegq,female,no,no,no,3,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic_check,44.6,122.7,0
173,0691-jvsya,female,no,yes,no,53,yes,no,fiber_optic,no,no,yes,no,yes,yes,one_year,yes,bank_transfer_(automatic),94.85,5000.2,1
2676,1872-ebwsc,female,no,no,no,29,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.35,617.35,0
6479,4351-qlcsu,female,no,no,no,1,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,credit_card_(automatic),55.0,55.0,1
3241,3148-blqjt,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.1,20.1,1
4955,5884-gcymi,male,no,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,mailed_check,69.4,69.4,1
5341,2982-ihmft,female,yes,no,no,1,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,mailed_check,74.45,74.45,1
5945,8421-wzoow,female,yes,yes,yes,57,yes,no,fiber_optic,no,yes,yes,yes,yes,no,month-to-month,yes,credit_card_(automatic),95.3,5567.45,0
5502,3755-jbmnh,male,yes,yes,no,16,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),71.8,1167.8,1
6885,7603-ushjs,male,no,no,yes,12,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),73.75,871.4,1
807,2798-nylmz,male,no,yes,no,71,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),108.55,7616.0,0
1469,5394-svgjv,male,no,no,no,37,yes,yes,fiber_optic,no,no,no,yes,yes,yes,month-to-month,no,bank_transfer_(automatic),98.8,3475.55,1
3902,5999-lcxao,female,no,no,no,1,no,no_phone_service,dsl,yes,no,no,no,no,no,month-to-month,no,mailed_check,29.9,29.9,0
5784,7401-rubnk,female,no,yes,no,18,yes,no,fiber_optic,yes,no,no,no,no,no,month-to-month,no,electronic_check,74.8,1438.05,0
5825,1363-txlsl,male,yes,yes,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.3,70.3,1
5100,9940-rhlfb,female,no,no,no,1,yes,no,fiber_optic,no,no,yes,no,no,no,month-to-month,no,electronic_check,75.3,75.3,1
3195,0570-bfqht,female,no,no,no,9,yes,no,fiber_optic,no,yes,yes,no,no,no,month-to-month,no,electronic_check,80.55,653.9,0
493,5756-ozrio,male,yes,yes,no,61,yes,yes,dsl,no,yes,no,no,no,yes,one_year,no,bank_transfer_(automatic),64.05,3902.6,0
1001,1989-prjhp,male,yes,yes,no,27,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.5,1893.95,1
2317,6770-uaygj,female,no,yes,yes,49,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,25.25,1211.65,0
5376,9229-rqabd,male,no,no,no,18,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,23.75,424.5,0
5225,5376-pcknb,male,no,yes,yes,72,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,credit_card_(automatic),104.45,7459.0,0
972,0556-fjegu,male,no,no,no,58,yes,no,dsl,no,yes,yes,yes,yes,no,two_year,no,bank_transfer_(automatic),70.1,4048.95,0
6861,6692-udpjc,female,no,yes,yes,14,yes,yes,fiber_optic,no,no,no,yes,yes,no,month-to-month,yes,electronic_check,91.65,1301.0,1
5487,5519-teeuh,male,no,no,yes,33,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,mailed_check,20.15,682.15,0
6118,9924-jprmc,male,no,no,no,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,electronic_check,118.2,8547.15,0
2811,5804-jmyio,female,no,yes,yes,39,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.75,757.95,0
384,6583-szvgp,male,no,no,no,48,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,two_year,yes,bank_transfer_(automatic),108.1,5067.45,0
4773,8627-ehgip,male,no,no,no,44,no,no_phone_service,dsl,no,yes,yes,no,yes,yes,one_year,yes,mailed_check,53.95,2375.4,1
4110,5208-fvqkb,male,no,yes,no,70,yes,no,dsl,yes,yes,no,yes,no,yes,two_year,no,mailed_check,67.95,4664.15,0
1663,5364-xyirr,male,no,yes,no,51,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,94.65,4812.75,1
3345,1335-hqmkx,female,no,yes,no,72,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,electronic_check,101.35,7323.15,0
1701,6097-eqisj,female,no,yes,yes,66,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,credit_card_(automatic),102.45,6615.15,1
4112,6627-cfosn,female,no,no,no,59,yes,yes,fiber_optic,yes,yes,yes,no,no,yes,month-to-month,yes,bank_transfer_(automatic),99.45,5623.7,0
6302,9250-wypll,female,no,no,no,5,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,75.55,413.65,1
1058,2074-gkowz,male,no,yes,yes,2,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),89.55,185.55,1
640,9574-bosmd,male,no,yes,yes,68,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),25.4,1620.2,0
3010,3865-qbwsj,male,yes,no,yes,38,yes,yes,fiber_optic,yes,no,no,no,no,no,month-to-month,yes,mailed_check,80.45,3162.65,0
2813,6484-latfu,male,no,no,no,68,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,24.55,1657.4,0
5892,2709-uqgnp,male,no,no,no,10,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed_check,51.65,524.5,0
6702,2027-cwdnu,male,no,yes,yes,18,yes,no,fiber_optic,no,no,no,yes,no,yes,month-to-month,yes,electronic_check,85.6,1601.5,0
1186,7670-zbpoq,female,no,yes,no,58,yes,yes,dsl,yes,no,no,yes,no,no,one_year,yes,bank_transfer_(automatic),61.05,3478.75,0
2662,8348-hfyiv,male,no,no,no,2,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,49.25,90.35,1
5872,4550-evxny,female,no,no,yes,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,69.65,69.65,1
1716,5515-rugkn,male,no,no,no,8,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,credit_card_(automatic),54.75,438.05,0
2469,4716-mrven,female,no,no,no,29,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.0,599.3,0
1920,4623-zkhly,male,no,yes,no,22,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,bank_transfer_(automatic),20.45,471.55,0
3143,5924-ifqtt,male,no,yes,yes,13,yes,yes,dsl,no,yes,yes,yes,yes,no,month-to-month,yes,electronic_check,72.8,930.05,0
6300,3967-vqogc,female,no,yes,yes,67,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,24.9,1680.25,0
5637,4423-jwzjn,male,no,yes,yes,64,yes,yes,fiber_optic,no,no,yes,no,no,yes,one_year,no,credit_card_(automatic),90.25,5629.15,0
585,5192-ebgov,female,yes,no,no,1,yes,yes,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,85.7,85.7,1
5055,6925-baygl,female,yes,yes,no,53,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),25.1,1275.6,0
6642,4747-lcaql,male,no,no,no,25,yes,no,dsl,yes,yes,no,yes,yes,yes,month-to-month,yes,mailed_check,79.0,1902.0,0
76,6416-jnvrk,female,no,no,no,46,yes,no,dsl,no,no,no,no,no,yes,one_year,no,credit_card_(automatic),55.65,2688.85,0
5826,9507-exltt,female,no,yes,no,1,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,bank_transfer_(automatic),79.35,79.35,1
2368,6650-bwfrt,female,no,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),117.15,8529.5,0
625,3003-cmduu,female,no,yes,no,25,yes,no,fiber_optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic_check,95.15,2395.7,0
3403,9618-lfjru,female,no,no,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,credit_card_(automatic),20.45,82.85,0
3713,6961-vcpmc,male,yes,yes,no,46,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,80.4,3605.2,1
1407,0895-uadgo,male,no,no,yes,8,no,no_phone_service,dsl,yes,no,no,yes,no,yes,two_year,yes,mailed_check,44.55,343.45,0
1905,1022-rkxdr,female,no,no,no,41,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,mailed_check,24.85,962.25,0
4735,0723-fdlay,male,no,no,no,44,yes,yes,dsl,no,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),85.25,3704.15,0
375,7156-mxbje,female,no,no,no,43,yes,yes,dsl,no,yes,yes,yes,yes,yes,one_year,no,credit_card_(automatic),85.1,3662.25,0
80,5919-tmrgd,female,no,no,yes,1,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,79.35,79.35,1
2170,8220-ocufy,female,no,no,no,21,yes,no,dsl,yes,no,yes,yes,no,no,one_year,yes,electronic_check,60.25,1258.35,0
4125,2716-gfzor,male,no,yes,no,43,yes,no,fiber_optic,yes,yes,yes,no,no,no,month-to-month,yes,credit_card_(automatic),86.1,3551.65,0
2786,6584-vqmyt,male,no,no,yes,27,yes,no,dsl,yes,yes,no,no,no,no,one_year,no,mailed_check,56.2,1567.55,0
2793,3904-ukfre,male,no,no,no,4,yes,yes,fiber_optic,yes,no,no,no,no,no,month-to-month,yes,electronic_check,80.1,336.15,0
6013,5671-uunxd,female,yes,yes,no,50,yes,yes,fiber_optic,no,no,no,yes,yes,yes,one_year,yes,electronic_check,100.65,5189.75,0
189,8017-uvszu,female,no,yes,no,40,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,no,credit_card_(automatic),56.6,2379.1,0
6768,9739-jlpqj,female,no,yes,yes,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),117.5,8670.1,0
6521,1092-wpivq,female,no,yes,yes,18,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,25.1,428.45,0
